id,vorname,name,wohnort,geburtsdatum,sternzeichen,zivilstand,groesse,gewicht,hobbys,erlernter_beruf,jetziger_beruf,besonderes,bild_url,tv,knt_gau,kranz_all,kranz_eid,kranz_tv,kranz_berg,kranz_knt_gau,kranz_2025,link_pdf
124,Niklas,Lötscher,Untervaz,,,,,,,,,,,NOSV,Graubünden,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Loetscher_Niklas_Untervaz.pdf
125,Hanspeter,Luginbühl,Aeschiried,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7539.jpg,BKSV,Oberland,68,0,10,6,52,1,https://esv.ch/schwingerportraets/Luginbuehl_Hanspeter_Aeschiried.pdf
126,Elias,Lüscher,Schlierbach,,,,,,,,,,,ISV,Luzern,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Luescher_Elias_Schlierbach.pdf
127,Sinisha,Lüscher,Muhen,,,,,,,,,,https://esv.ch/pics/schwinger/large/Sinisha_Luescher_NWSV_SO.jpg,NWSV,Solothurn,13,0,2,0,11,3,https://esv.ch/schwingerportraets/Luescher_Sinisha_Muhen.pdf
128,Marco,Lussi,Ennetbürgen,,,,,,,,,,,ISV,Ob- und Nidwalden,9,0,0,1,8,1,https://esv.ch/schwingerportraets/Lussi_Marco_Emmetten.pdf
129,Josef,Lustenberger,Hasle LU,,,,,,,,,,,ISV,Luzern,9,0,0,0,9,1,https://esv.ch/schwingerportraets/Lustenberger_Josef_Hasle_LU.pdf
130,Marc,Lustenberger,Hasle LU,,,,,,,,,,,ISV,Luzern,23,0,4,3,16,3,https://esv.ch/schwingerportraets/Lustenberger_Marc_Hasle_LU.pdf
131,Tim,Lustenberger,Hasle LU,,,,,,,,,,,ISV,Luzern,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Lustenberger_Tim_Hasle_LU.pdf
132,David,Lüthi,Bowil,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7992.jpg,BKSV,Mittelland,8,0,0,0,8,1,https://esv.ch/schwingerportraets/Luethi_David_Bowil.pdf
133,Mickaël,Matthey,Gingins,,,,,,,,,,,SWSV,Vaudoise,50,0,10,0,40,1,https://esv.ch/schwingerportraets/Matthey_Mickaël_Gingins.pdf
134,Lars,Mehr,Wolfenschiessen,,,,,,,,,,,ISV,Ob- und Nidwalden,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Mehr_Lars_Dallenwil.pdf
135,Valentin,Mettler,Neu St.Johann,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Mettler_Valentin_CG19-04-20CG19-04-20_DSF3851S.jpg,NOSV,St. Gallen,6,0,0,0,6,1,https://esv.ch/schwingerportraets/Mettler_Valentin_Neu_StJohann.pdf
136,Ivan,Mollet,Ollon VD,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Mollet_Ivan_080223.jpg,SWSV,Vaudoise,17,0,2,0,15,1,https://esv.ch/schwingerportraets/Mollet_Ivan_Ollon_VD.pdf
137,Michael,Moser,Biglen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7468.jpg,BKSV,Emmental,20,0,3,5,12,2,https://esv.ch/schwingerportraets/Moser_Michael_Biglen.pdf
138,Dominik,Müller,Cham,,,,,,,,,,,ISV,/ ISVZug / Zug,1,0,0,0,1,1,https://esv.ch/documents/ranglisten/2025-05-11_101_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-RL.pdf
139,Luca,Müller,Unterägeri,,,,,,,,,,,ISV,Zug,7,0,1,1,5,2,https://esv.ch/schwingerportraets/Mueller_Luca_Unteraegeri.pdf
140,Philipp,Müller,Unterägeri,,,,,,,,,,,ISV,Zug,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Mueller_Philipp_Unteraegeri.pdf
141,Leandro,Nägeli,Hasliberg Reuti,,,,,,,,,,,BKSV,Oberland,10,0,0,1,9,1,https://esv.ch/schwingerportraets/Naegeli_Leandro_Hasliberg_Reuti.pdf
142,Marco,Nägeli,Mettmenstetten,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Naegeli_Marco_CG19-04-20CG19-04-20_DSF5242S.jpg,NOSV,Zürich,16,0,1,0,15,1,https://esv.ch/schwingerportraets/Naegeli_Marco_Maschwanden.pdf
143,Adrian,Odermatt,Liesberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/Odermatt_Adrian_BL.JPG,NWSV,Baselland,23,1,3,3,16,2,https://esv.ch/schwingerportraets/Odermatt_Adrian_Liesberg.pdf
144,Jonas,Odermatt,Liesberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/Jonas_Odermatt_Kranz_1.jpg,NWSV,Baselland,16,0,3,2,11,3,https://esv.ch/schwingerportraets/Odermatt_Jonas_Liesberg.pdf
145,Silvio,Oettli,Bussnang,,,,,,,,,,https://esv.ch/pics/schwinger/large/Oettli_Silvio_CG19-08-07_DSF3727.jpg,NOSV,Thurgau,9,0,1,0,8,1,https://esv.ch/schwingerportraets/Oettli_Silvio_Bussnang.pdf
146,Armon,Orlik,Maienfeld,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-25-18_DSC_4401.jpg,NOSV,Graubünden,70,3,12,17,38,2,https://esv.ch/schwingerportraets/Orlik_Armon_Maienfeld.pdf
147,Curdin,Orlik,Thun,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7548.jpg,BKSV,Oberland,66,2,6,14,44,2,https://esv.ch/schwingerportraets/Orlik_Curdin_Rubigen.pdf
148,Damian,Ott,Dreien,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-18-49_DSC_4377.jpg,NOSV,St. Gallen,33,1,7,6,19,2,https://esv.ch/schwingerportraets/Ott_Damian_Dreien.pdf
149,Loïc,Pasquier,Maules,,,,,,,,,,,SWSV,Fribourgeoise,4,0,0,0,4,2,https://esv.ch/schwingerportraets/Pasquier_Loïc_Maules.pdf
150,Leon,Pellet,Plaffeien,,,,,,,,,,,SWSV,Fribourgeoise,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Pellet_Leon_Oberschrot.pdf
151,Andrin,Poltera,Urnäsch,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Poltera_Andrin_CG19-04-20CG19-04-20_DSF4339S.jpg,NOSV,Appenzell,15,0,2,0,13,2,https://esv.ch/schwingerportraets/Poltera_Andrin_Urnaesch.pdf
152,David,Pürro,Oberschrot,,,,,,,,,,,SWSV,Fribourgeoise,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Puerro_David_Plaffeien.pdf
153,Patrick,Räbmatter,Uerkheim,,,,,,,,,,https://esv.ch/pics/schwinger/large/Raebmatter_Patrick_AG__KOE2883.JPG,NWSV,Aargau,65,2,12,14,37,1,https://esv.ch/schwingerportraets/Raebmatter_Patrick_Uerkheim.pdf
154,Marcel,Räbsamen,Müselbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-08-51_DSC_7867.jpg,NOSV,St. Gallen,33,1,5,5,22,4,https://esv.ch/schwingerportraets/Raebsamen_Marcel_Mueselbach.pdf
155,Fritz,Ramseier,Süderen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7920.jpg,BKSV,Emmental,26,0,2,1,23,1,https://esv.ch/schwingerportraets/Ramseier_Fritz_Suederen.pdf
156,Marco,Reichmuth,Uffikon,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Reichmurth_Marco_620366.jpg,ISV,Zug,27,0,4,4,19,2,https://esv.ch/schwingerportraets/Reichmuth_Marco_Cham.pdf
157,Pirmin,Reichmuth,Muotathal,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Reichmurth_Pirmin_620376.jpg,ISV,Zug,35,3,5,9,18,3,https://esv.ch/schwingerportraets/Reichmuth_Pirmin_Steinen.pdf
158,Roland,Reichmuth,Cham,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Reichmurth_Roland_620346.jpg,ISV,Zug,16,0,1,0,15,3,https://esv.ch/schwingerportraets/Reichmuth_Roland_Cham.pdf
159,Lukas,Renfer,Liebefeld,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7948.jpg,BKSV,Mittelland,28,0,3,2,23,1,https://esv.ch/schwingerportraets/Renfer_Lukas_Walperswil.pdf
160,Leon,Riebli,Neuenkirch,,,,,,,,,,https://esv.ch/pics/schwinger/large/Leon-Riebli.jpg,ISV,Luzern,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Riebli_Leon_Schuepfheim.pdf
161,Matteo,Riedweg,Escholzmatt,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Riedweg_Matteo_Escholzmatt.pdf
162,Florian,Riget,Schänis,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-15-55_DSC_7943.jpg,NOSV,St. Gallen,16,0,3,0,13,2,https://esv.ch/schwingerportraets/Riget_Florian_Schaenis.pdf
163,Jérôme,Rohrbach,Seewen SO,,,,,,,,,,https://esv.ch/pics/schwinger/large/jerome_3a.jpg,NWSV,Solothurn,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Rohrbach_Jerome_Roeschenz.pdf
164,Ueli,Rohrer,Flüeli-Ranft,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Rohrer_Ueli_620293.jpg,ISV,Ob- und Nidwalden,26,0,4,4,18,2,https://esv.ch/schwingerportraets/Rohrer_Ueli_Flueeli-Ranft.pdf
165,Ruedi,Roschi,Oey,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7576.jpg,BKSV,Oberland,56,0,7,6,43,1,https://esv.ch/schwingerportraets/Roschi_Ruedi_Oey.pdf
166,Lars,Rotach,Ganterschwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-16-42_DSC_4371.jpg,NOSV,St. Gallen,11,0,1,0,10,1,https://esv.ch/schwingerportraets/Rotach_Lars_Ulisbach.pdf
167,Dominik,Roth,Biberist,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO8065.jpg,BKSV,Seeland,35,0,3,2,30,1,https://esv.ch/schwingerportraets/Roth_Dominik_Meikirch.pdf
168,Jan,Roth,Erlinsbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/Roth_Jan_AG_KOE2882.JPG,NWSV,Aargau,10,0,3,0,7,1,https://esv.ch/schwingerportraets/Roth_Jan_Erlinsbach.pdf
169,Martin,Roth,Herisau,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-37-54_DSC_4434.jpg,NOSV,Appenzell,37,2,4,4,27,1,https://esv.ch/schwingerportraets/Roth_Martin_Waldstatt.pdf
170,Tim,Roth,Erlinsbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/Roth_Tim_AG__KOE2878.JPG,NWSV,Aargau,15,0,1,2,12,3,https://esv.ch/schwingerportraets/Roth_Tim_Erlinsbach.pdf
171,Pascal,Röthlin,Sachseln,,,,,,,,,,,ISV,Ob- und Nidwalden,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Roethlin_Pascal_Sachseln.pdf
172,Patrick,Rüegg,Rikon im Tösstal,,,,,,,,,,,NOSV,Zürich,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Rueegg_Patrick_Rikon_im_Toesstal.pdf
173,Levin,Rüfenacht,Schwarzenegg,,,,,,,,,,,BKSV,Oberland,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Ruefenacht_Levin_Schwarzenegg.pdf
174,Patrick,Schenk,Weier im Emmental,,,,,,,,,,https://esv.ch/pics/schwinger/large/Schenk-Patrick0673_V1_HR.jpg,BKSV,Emmental,45,2,6,3,34,1,https://esv.ch/schwingerportraets/Schenk_Patrick_Koppigen.pdf
175,Niklaus,Scherer,Escholzmatt,,,,,,,,,,https://zksv.esv.ch/pics/schwinger/large/Niklaus_Scherer.jpg,ISV,Luzern,8,0,2,0,6,1,https://zksv.esv.ch/schwingerportraets/Scherer_Niklaus_Escholzmatt_LU.pdf
176,Fabian,Scherrer,Uffikon,,,,,,,,,,,ISV,Luzern,17,0,2,1,14,3,https://esv.ch/schwingerportraets/Scherrer_Fabian_Uffikon.pdf
177,David,Scheuner,Oberlangenegg,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7515.jpg,BKSV,Oberland,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Scheuner_David_Oberlangenegg.pdf
178,Janis,Schick,Bennwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/Schick_Janis_2023.JPG,NWSV,Baselland,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Schick_Janis_Bennwil.pdf
179,Hugo,Schläfli,Posieux,,,,,,,,,,https://esv.ch/pics/schwinger/large/IMG_1002.jpg,SWSV,Fribourgeoise,8,0,2,0,6,2,https://esv.ch/schwingerportraets/Schlaefli_Hugo_Posieux.pdf
180,Reto,Schlegel,Flums,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Schlegel_Reto_CG19-04-20CG19-04-20_DSF4082S.jpg,NOSV,St. Gallen,11,0,0,0,11,1,https://esv.ch/schwingerportraets/Schlegel_Reto_Flumserberg.pdf
181,Gian,Schmid,Lüchingen,,,,,,,,,,,NOSV,St. Gallen,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Schmid_Gian_Luechingen.pdf
182,Samuel,Schmid,Wittnau,,,,,,,,,,https://esv.ch/pics/schwinger/large/Schmid_Samuel_AG__KOE2885.JPG,NWSV,Aargau,27,0,5,0,22,2,https://esv.ch/schwingerportraets/Schmid_Samuel_Wittnau.pdf
183,André,Schmidli,Rain,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/fr/portraits_des_lutteurs/Schmidli_Andre_Neuenkirch.pdf
184,Simon,Schmutz,Langenbruck,,,,,,,,,,https://esv.ch/pics/schwinger/large/Portait_Schmutz_Simon.jpg,ISV,Luzern,12,0,2,0,10,2,https://esv.ch/schwingerportraets/Schmutz_Simon_Langenbruck.pdf
185,Domenic,Schneider,Friltschen,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-27-32_DSC_4410.jpg,NOSV,Thurgau,87,3,15,19,50,3,https://esv.ch/schwingerportraets/Schneider_Domenic_Friltschen.pdf
186,Mario,Schneider,Rothenhausen,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-17-32_DSC_4373.jpg,NOSV,Thurgau,75,0,14,10,51,3,https://esv.ch/schwingerportraets/Schneider_Mario_Schoenenberg_an_der_Thur.pdf
187,Aaron,Schönholzer,Schönholzerswilen,,,,,,,,,,https://esv.ch/pics/schwinger/large/240816-17-58-14_DSC_0670.jpg,NOSV,Thurgau,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Schoenholzer_Aaron_Schoenholzerswilen.pdf
188,Ronny,Schöpfer,Escholzmatt,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Schoepfer_Ronny_620030.jpg,ISV,Luzern,17,0,2,2,13,1,https://esv.ch/schwingerportraets/Schoepfer_Ronny_Wiggen.pdf
189,Raphael,Schreiber,Mägenwil,,,,,,,,,,,NWSV,Aargau,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Schreiber_Raphael_Maegenwil.pdf
190,Christian,Schuler,Rothenthurm,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Schuler_Christian_619612.jpg,ISV,Schwyz,120,5,23,37,55,3,https://esv.ch/schwingerportraets/Schuler_Christian_Rothenthurm.pdf
191,Martin,Schuler,Wädenswil,,,,,,,,,,,NOSV,Zürich,6,0,1,0,5,1,https://esv.ch/schwingerportraets/Schuler_Martin_Waedenswil_ZH.pdf
192,Bruno,Schürpf,Schwyz,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Schuerpf_Bruno_619375.jpg,ISV,Schwyz,10,0,1,0,9,1,https://esv.ch/schwingerportraets/Schuerpf_Bruno_Schwyz.pdf
193,Sven,Schurtenberger,Grosswangen,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Schurtenberger_Sven_619971.jpg,ISV,Luzern,77,3,18,22,34,1,https://esv.ch/schwingerportraets/Schurtenberger_Sven_Buttisholz.pdf
194,Severin,Schwander,Riggisberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7612.jpg,BKSV,Mittelland,26,1,2,2,21,2,https://esv.ch/schwingerportraets/Schwander_Severin_Riggisberg.pdf
195,Dominik,Schwegler,Auenstein,,,,,,,,,,https://nosv.esv.ch/pics/schwinger/large/Schwegler_Dominik_AG__KOE2876.JPG,NWSV,Aargau,8,0,0,0,8,3,https://nosv.esv.ch/schwingerportraets/Schwegler_Dominik_Gebenstorf.pdf
196,Samuel,Schwyzer,Grosswangen,,,,,,,,,,https://esv.ch/pics/schwinger/large/R5_17518.jpg,ISV,Luzern,17,0,3,2,12,3,https://esv.ch/schwingerportraets/Schweizer_Samuel_Grosswangen.pdf
197,Leo,Siegenthaler,Jeuss,,,,,,,,,,,SWSV,Fribourgeoise,4,0,1,0,3,1,https://esv.ch/schwingerportraets/Siegenthaler_Leo_Jeuss.pdf
198,Andy,Signer,Wittenbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-22-21_DSC_4388.jpg,NOSV,St. Gallen,11,0,2,0,9,1,https://esv.ch/schwingerportraets/Signer_Andy_Wittenbach.pdf
199,Martin,Sommer,Häusernmoos im Emmental,,,,,,,,,,,BKSV,Emmental,7,0,0,0,7,1,https://esv.ch/schwingerportraets/Sommer_Martin_Haeusernmoos_im_Emmental.pdf
200,Fabian,Staudenmann,Guggisberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7693.jpg,BKSV,Mittelland,57,2,9,16,30,2,https://esv.ch/schwingerportraets/Staudenmann_Fabian_Guggisberg.pdf
201,Valentin,Steffen,Grünen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7765.jpg,BKSV,Emmental,11,0,0,0,11,1,https://esv.ch/schwingerportraets/Steffen_Valentin_Gruenen.pdf
202,Elia,Steiger,Büron,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Steiger_Elia_Bueron.pdf
203,Adrian,Steinauer,Vorderthal,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Steinauer_Adrian_619515.jpg,ISV,Schwyz,40,0,9,6,25,2,https://esv.ch/schwingerportraets/Steinauer_Adrian_Willerzell.pdf
204,Simon,Stoll,Mümliswil,,,,,,,,,,https://esv.ch/pics/schwinger/large/Stoll-Simon_0150_V1_HR.jpg,NWSV,Solothurn,9,0,2,0,7,2,https://esv.ch/schwingerportraets/Stoll_Simon_Muemliswil.pdf
205,Thomas,Stoll,Kerzers,,,,,,,,,,,SWSV,Fribourgeoise,6,0,1,0,5,1,https://esv.ch/schwingerportraets/Stoll_Thomas_Duedingen.pdf
206,Simon,Stucki,Horboden,,,,,,,,,,,BKSV,Oberland,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Stucki_Simon_Horboden.pdf
207,Robin,Studinger,Däniken SO,,,,,,,,,,,NWSV,Aargau,1,0,0,0,1,1,https://esv.ch/documents/ranglisten/2025-05-25_Fruehjahrschwinget_Suhr2-RL.pdf
208,Beat,Suter,Walchwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Suter_Beat_620454.jpg,ISV,Zug,4,0,0,0,4,2,https://esv.ch/schwingerportraets/Suter_Beat_Allenwinden.pdf
209,Bruno,Suter,Rickenbach,,,,,,,,,,,ISV,Schwyz,7,0,0,0,7,1,https://esv.ch/schwingerportraets/Suter_Bruno_Rickenbach_b_Schwyz_SZ.pdf
210,Joel,Suter,Hünenberg,,,,,,,,,,,ISV,Zug,3,0,0,0,3,2,https://esv.ch/schwingerportraets/Suter_Joel_Huenenberg.pdf
211,Pirmin,Suter,Emmen,,,,,,,,,,,ISV,Schwyz,7,0,1,0,6,1,https://esv.ch/schwingerportraets/Suter_Pirmin_Oberarth.pdf
212,Adrian,Thalmann,Flühli LU,,,,,,,,,,,ISV,Luzern,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Thalmann_Adrian_Fluehli_LU.pdf
213,Nils,Theiler,Emmenbrücke,,,,,,,,,,,ISV,Luzern,3,0,0,0,3,2,https://esv.ch/schwingerportraets/Theiler_Nils_Emmenbruecke.pdf
214,Marco,Thierstein,Ballwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Thierstein_Marco_619822.jpg,ISV,Luzern,7,0,0,0,7,2,https://esv.ch/schwingerportraets/Thierstein_Marco_Hochdorf.pdf
215,Paul,Tornare,Botterens,,,,,,,,,,,SWSV,Fribourgeoise,11,0,2,0,9,2,https://esv.ch/schwingerportraets/Tornare_Paul_Botterens.pdf
216,Silvan,Trittibach,Diemtigen,,,,,,,,,,,BKSV,Oberland,5,0,1,0,4,1,https://esv.ch/schwingerportraets/Trittibach_Silvan_Diemtigen.pdf
217,Jonas,Troxler,Urswil,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Troxler_Jonas_619811.jpg,ISV,Luzern,11,0,1,0,10,2,https://esv.ch/schwingerportraets/Troxler_Jonas_Urswil.pdf
218,Sales,Tschudi,Matt,,,,,,,,,,https://esv.ch/pics/schwinger/large/240816-17-47-55_DSC_0626.jpg,NOSV,Glarus,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Tschudi_Sales_Matt.pdf
219,Lukas,Tschumi,Wolfisberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7477.jpg,BKSV,Oberaargau,11,0,0,0,11,1,https://esv.ch/schwingerportraets/Tschumi_Lukas_Wolfisberg.pdf
220,Marcel,Tugulea,Stalden,,,,,,,,,,,SWSV,Valaisanne,5,0,1,0,4,1,https://esv.ch/schwingerportraets/Tugulea_Marcel_Stalden.pdf
221,Fabian,Ulmann,Montlingen,,,,,,,,,,https://esv.ch/pics/schwinger/large/SH_Kranz_2021_Fabian_Ulmann.jpg,NOSV,St. Gallen,8,0,0,0,8,1,https://esv.ch/schwingerportraets/Ulmann_Fabian_Montlingen.pdf
222,Florian,Ulrich,Steinen,,,,,,,,,,https://esv.ch/pics/schwinger/large/Ulrich_Florian_1990.jpg,ISV,Zug,10,0,1,0,9,2,https://esv.ch/schwingerportraets/Ulrich_Florian_Steinen.pdf
223,Marco,Ulrich,Gersau,,,,,,,,,,,ISV,Schwyz,10,0,2,1,7,1,https://esv.ch/schwingerportraets/Ulrich_Marco_Gersau_SZ.pdf
224,Noe,Van Messel,Oberägeri,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Van_Messel_Noe_620538.jpg,ISV,Zug,15,0,3,3,9,3,https://esv.ch/schwingerportraets/Van_Messel_Noe_Oberaegeri.pdf
225,Remo,Vogel,Hasle LU,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Vogel_Remo_8448814.jpg,ISV,Luzern,19,0,3,1,15,1,https://esv.ch/schwingerportraets/Vogel_Remo_Hasle_LU.pdf
226,Luca,Vögeli,Wilderswil,,,,,,,,,,https://esv.ch/pics/schwinger/large/2024-08-03_122201.jpg,BKSV,Oberland,5,0,1,1,3,1,https://esv.ch/schwingerportraets/Voegeli_Luca_Wilderswil.pdf
227,Lars,Voggensperger,Schönenbuch,,,,,,,,,,https://esv.ch/pics/schwinger/large/Voggensperger_Lars_BL.JPG,NWSV,Baselland,23,1,2,3,17,3,https://esv.ch/schwingerportraets/Voggensperger_Lars_Schoenenbuch.pdf
228,Jeremy,Vollenweider,Beringen,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-27-59_DSC_4411.jpg,NOSV,Schaffhausen,27,0,4,0,23,2,https://esv.ch/schwingerportraets/Vollenweider_Jeremy_Beringen.pdf
229,Lukas,von Euw,Ingenbohl,,,,,,,,,,,ISV,Schwyz,10,0,1,0,9,2,https://esv.ch/schwingerportraets/von_Euw_Lukas_Ingenbohl.pdf
230,Carlo,von Rickenbach,Hasle LU,,,,,,,,,,,ISV,Luzern,3,0,0,0,3,2,https://esv.ch/schwingerportraets/von_Rickenbach_Carlo_Hasle_LU.pdf
231,Kilian,von Weissenfluh,Hasliberg Hohfluh,,,,,,,,,,https://esv.ch/pics/schwinger/large/von-Weissenfluh-Kilian0600_V1_HR.jpg,BKSV,Oberland,50,1,9,10,30,2,https://esv.ch/schwingerportraets/von_Weissenfluh_Kilian_Hasliberg_Hohfluh.pdf
232,Marco,Waeber,Gurmels,,,,,,,,,,,BKSV,Mittelland,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Waeber_Marco_Gurmels.pdf
233,Adrian,Walther,Habstetten,,,,,,,,,,https://zksv.esv.ch/pics/schwinger/large/_ALO7772.jpg,BKSV,Mittelland,40,1,7,11,21,2,https://zksv.esv.ch/schwingerportraets/Walther_Adrian_Ittigen.pdf
234,Reto,Walther,Habstetten,,,,,,,,,,,BKSV,Mittelland,1,0,0,0,1,1,https://nosv.esv.ch/documents/ranglisten/zs2/2025-05-25_Seelaendisches_Schwingfest-RL.pdf
235,Christoph,Waser,Beckenried,,,,,,,,,,,ISV,Ob- und Nidwalden,7,0,1,0,6,2,https://esv.ch/schwingerportraets/Waser_Christof_Beckenried_NW.pdf
236,Kevin,Waser,Gettnau,,,,,,,,,,,ISV,Luzern,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Waser_Kevin_Gettnau.pdf
237,Manuel,Weber,Pfäffikon ZH,,,,,,,,,,https://esv.ch/pics/schwinger/large/5bdce7_afd4a228b4474437b0eaeb66a6fcfd07_mv2.jpg,NOSV,St. Gallen,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Luethi_Manuel_Pfaeffikon_ZH2.pdf
238,Nicola,Wey,Stäfa,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-31-16_DSC_4419.jpg,NOSV,Zürich,21,0,3,0,18,1,https://esv.ch/schwingerportraets/Wey_Nicola_Staefa.pdf
239,Joel,Wicki,Sörenberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Wicki_Joel_619629.jpg,ISV,Luzern,71,2,13,21,35,2,https://esv.ch/schwingerportraets/Wicki_Joel_Soerenberg.pdf
240,Patrick,Wicki,Luzern,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Wicki_Patrick_Wolhusen.pdf
241,Thomas,Widmer,Cham,,,,,,,,,,,ISV,Zug,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Widmer_Thomas_Cham.pdf
242,Janis,Wieland,Galmiz,,,,,,,,,,,SWSV,Fribourgeoise,8,0,1,0,7,1,https://esv.ch/schwingerportraets/Wieland_Janis_Galmiz.pdf
243,Roman,Wittenwiler,Schwellbrunn,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-38-38_DSC_4436.jpg,NOSV,Appenzell,12,0,1,0,11,2,https://esv.ch/schwingerportraets/Wittenwiler_Roman_Schwellbrunn_AR.pdf
244,Jan,Wittwer,Faulensee,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7715.jpg,BKSV,Oberland,29,0,2,4,23,1,https://esv.ch/schwingerportraets/Wittwer_Jan_Faulensee.pdf
245,Raphael,Wolf,Ried b. Kerzers,,,,,,,,,,,SWSV,Fribourgeoise,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Wolf_Raphael_Ried_b_Kerzers.pdf
246,Jonas,Wüthrich,Waltenschwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/JENN6092_BS_OJE__Neukranzer__Wuthrich_Jonas.jpg,NWSV,Aargau,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Wuethrich_Jonas_Waltenschwil.pdf
247,Sven,Wyss,Römerswil LU,,,,,,,,,,,ISV,Luzern,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Wyss_Sven_Roemerswil_LU.pdf
